"filename", "language", "Dockerfile", "Ignore", "YAML", "JSON", "Markdown", "JavaScript", "SQL", "comment", "blank", "total"
"g:\distributed-fshare-nodejs\fshare-backend\.dockerignore", "Ignore", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"g:\distributed-fshare-nodejs\fshare-backend\.github\workflows\master_fshare-files.yml", "YAML", 0, 0, 26, 0, 0, 0, 0, 2, 7, 35
"g:\distributed-fshare-nodejs\fshare-backend\Dockerfile", "Dockerfile", 7, 0, 0, 0, 0, 0, 0, 0, 6, 13
"g:\distributed-fshare-nodejs\fshare-backend\README.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 0, 16, 42
"g:\distributed-fshare-nodejs\fshare-backend\docker-compose.yml", "YAML", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"g:\distributed-fshare-nodejs\fshare-backend\package-lock.json", "JSON", 0, 0, 0, 2682, 0, 0, 0, 0, 1, 2683
"g:\distributed-fshare-nodejs\fshare-backend\package.json", "JSON", 0, 0, 0, 36, 0, 0, 0, 0, 0, 36
"g:\distributed-fshare-nodejs\fshare-backend\src\api\controllers\download.js", "JavaScript", 0, 0, 0, 0, 0, 78, 0, 1, 5, 84
"g:\distributed-fshare-nodejs\fshare-backend\src\api\controllers\file.js", "JavaScript", 0, 0, 0, 0, 0, 58, 0, 0, 5, 63
"g:\distributed-fshare-nodejs\fshare-backend\src\api\middlewares\errorHandler.js", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"g:\distributed-fshare-nodejs\fshare-backend\src\api\middlewares\isAuth.js", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"g:\distributed-fshare-nodejs\fshare-backend\src\api\routes\index.js", "JavaScript", 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"g:\distributed-fshare-nodejs\fshare-backend\src\api\routes\modules\download.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"g:\distributed-fshare-nodejs\fshare-backend\src\api\routes\modules\file.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
"g:\distributed-fshare-nodejs\fshare-backend\src\app.js", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"g:\distributed-fshare-nodejs\fshare-backend\src\configs\azure-blob-service.js", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 11, 6, 31
"g:\distributed-fshare-nodejs\fshare-backend\src\configs\index.js", "JavaScript", 0, 0, 0, 0, 0, 40, 0, 0, 1, 41
"g:\distributed-fshare-nodejs\fshare-backend\src\configs\multer.js", "JavaScript", 0, 0, 0, 0, 0, 26, 0, 0, 3, 29
"g:\distributed-fshare-nodejs\fshare-backend\src\configs\redis.js", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 0, 3, 10
"g:\distributed-fshare-nodejs\fshare-backend\src\helpers\generate-sas-token.js", "JavaScript", 0, 0, 0, 0, 0, 29, 0, 0, 4, 33
"g:\distributed-fshare-nodejs\fshare-backend\src\helpers\zip-files.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"g:\distributed-fshare-nodejs\fshare-backend\src\jobs\file-remove-scheduler.js", "JavaScript", 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"g:\distributed-fshare-nodejs\fshare-backend\src\loaders\database.js", "JavaScript", 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"g:\distributed-fshare-nodejs\fshare-backend\src\loaders\express.js", "JavaScript", 0, 0, 0, 0, 0, 36, 0, 1, 3, 40
"g:\distributed-fshare-nodejs\fshare-backend\src\loaders\index.js", "JavaScript", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"g:\distributed-fshare-nodejs\fshare-backend\src\loaders\logger.js", "JavaScript", 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"g:\distributed-fshare-nodejs\fshare-backend\src\models\file.js", "JavaScript", 0, 0, 0, 0, 0, 65, 0, 1, 8, 74
"g:\distributed-fshare-nodejs\fshare-backend\src\models\sql\init_database.sql", "SQL", 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"g:\distributed-fshare-nodejs\fshare-backend\src\models\user.js", "JavaScript", 0, 0, 0, 0, 0, 42, 0, 0, 6, 48
"g:\distributed-fshare-nodejs\fshare-backend\src\services\azure-blob.js", "JavaScript", 0, 0, 0, 0, 0, 39, 0, 1, 4, 44
"g:\distributed-fshare-nodejs\fshare-backend\src\services\download.js", "JavaScript", 0, 0, 0, 0, 0, 81, 0, 0, 4, 85
"g:\distributed-fshare-nodejs\fshare-backend\src\services\file.js", "JavaScript", 0, 0, 0, 0, 0, 172, 0, 0, 6, 178
"g:\distributed-fshare-nodejs\fshare-backend\src\utils\errors.js", "JavaScript", 0, 0, 0, 0, 0, 22, 0, 0, 4, 26
"g:\distributed-fshare-nodejs\fshare-backend\src\utils\utils.js", "JavaScript", 0, 0, 0, 0, 0, 33, 0, 0, 8, 41
"Total", "-", 7, 2, 34, 2718, 26, 858, 2, 17, 130, 3794